A,20200916,101.23,101.53,98.08,99.92,1365600
AA,20200916,13.92,14.08,13.705,13.9,5585900
AAN,20200916,58.59,58.83,57.14,57.25,511000
AAP,20200916,157.03,157.11,154.3,154.64,512700
AAT,20200916,25.88,26.67,25.82,26.34,350300
AB,20200916,27.46,28.31,27.43,27.9,476000
ABB,20200916,26.35,26.42,26.105,26.12,1076000
ABBV,20200916,91.02,91.27,89.685,89.78,6307900
ABC,20200916,95.61,97.96,94.99,96.79,1033900
ABEV,20200916,2.44,2.45,2.415,2.42,13630400
ABG,20200916,107.44,107.44,101.93,102.96,185800
ABM,20200916,37.01,37.9,36.96,37.53,362800
ABR,20200916,11.9,12.23,11.86,12.11,1405900
ABR-A,20200916,25.2,25.46,25.2,25.43,6000
ABR-B,20200916,25.2606,25.2606,25.2606,25.2606,200
ABR-C,20200916,25.5,25.5,25.45,25.45,2100
ABT,20200916,106.95,107.37,105.66,105.7,4244400
AC,20200916,37.12,37.295,36.915,36.95,6500
ACA,20200916,44.61,45.49,44.505,45.3,243900
ACB,20200916,7.08,7.27,6.98,7.01,4710000
ACC,20200916,36.88,37.78,36.505,37.5,826600
ACCO,20200916,6.09,6.15,6,6.01,1322000
ACEL,20200916,14.54,14.94,14.165,14.24,375400
ACH,20200916,5.83,5.83,5.75,5.79,32600
ACI,20200916,13.21,13.49,13.16,13.16,3135800
ACM,20200916,39,39.87,38.85,39.6,1283000
ACN,20200916,241.46,244.9,239.17,239.42,1800700
ACN.U,20200916,10.6,10.6,10.52,10.54,60900
ACN.W,20200916,1.47,1.47,1.2,1.3,32900
ACND,20200916,10,10.11,9.93,10.11,101000
ACP,20200916,10.1,10.14,10.08,10.13,79300
ACRE,20200916,9.92,10.23,9.78,10.19,296200
ACV,20200916,26.13,26.33,25.98,26.06,34000
ADC,20200916,70.27,70.47,69.21,69.29,452400
ADCT,20200916,40.37,42.68,40.1,42.49,51400
ADM,20200916,47.54,48.2067,47.53,47.66,4543300
ADNT,20200916,18.59,18.59,17.51,17.58,915100
ADS,20200916,44.52,47.67,44.3,47.05,1274200
ADSW,20200916,30.2,30.245,30.15,30.15,540100
ADT,20200916,9.49,9.63,9.21,9.36,32681200
ADX,20200916,16.34,16.42,16.26,16.27,108600
AEB,20200916,25.06,25.06,25,25,20300
AEE,20200916,77.48,78.85,77.35,77.94,1193600
AEFC,20200916,25.71,25.78,25.6,25.74,163700
AEG,20200916,2.62,2.67,2.6,2.63,1895400
AEL,20200916,21.7,22.43,21.55,22,646200
AEL-A,20200916,24.05,24.32,23.79,23.82,31800
AEL-B,20200916,25.55,25.6,25.31,25.31,31500
AEM,20200916,86.71,86.75,85.06,85.59,1299000
AEO,20200916,14.69,15.48,14.6,15.39,12246100
AEP,20200916,79.84,80.98,79.61,80.46,2112000
AEP-B,20200916,47.51,48.5,47.51,47.8,130400
